Region,Basin,Sub_Basin,Watercourse,Sub_Basin_Area,Sub_Basin_Proportion_of_Basin,DIN,Turbidity,High_DO,Low_DO,TP,FRP,Nutrients,Min_DO,Phys_Chem,Overall_WQ,DIN_Weighted,FRP_Weighted,High_DO_Weighted,Low_DO_Weighted,TP_Weighted,Turbidity_Weighted,Nutrients_Weighted,Phys_Chem_Weighted,Overall_WQ_Weighted,High_DO_Grade,Low_DO_Grade,TP_Grade,FRP_Grade,Nutrients_Grade,Min_DO_Grade,Phys_Chem_Grade,Overall_WQ_Grade,DIN_Weighted_Grade,FRP_Weighted_Grade,High_DO_Weighted_Grade,Low_DO_Weighted_Grade,TP_Weighted_Grade,Turbidity_Weighted_Grade,Nutrients_Weighted_Grade,Phys_Chem_Weighted_Grade,Overall_WQ_Weighted_Grade
DT,Ross,Upper Ross River,Ross Lake,458,0.32,90,90,90,90,73.03,NA,81.515,90,90,85.7575,28.8,NA,28.8,28.8,23.369600000000002,28.8,26.0848,28.8,27.4424,A,A,B,NA,A,A,A,A,D,NA,D,D,D,D,D,D,D
DT,Ross,Lower Ross River,Aplins Weir,786,0.56,62.329524348810864,90,90,46.86500746240234,NA,90,62.329524348810864,46.86500746240234,68.43250373120117,65.38101404000602,34.90453363533409,50.400000000000006,50.400000000000006,26.244404178945313,NA,50.400000000000006,34.90453363533409,38.322202089472654,36.61336786240338,A,C,NA,A,B,C,B,B,D,C,C,D,NA,C,D,D,D
DT,Ross,Lower Ross River,Gleesons Weir,786,0.56,59.63125,90,90,67.20584351014531,NA,NA,59.63125,67.20584351014531,78.60292175507266,69.11708587753633,33.3935,NA,50.400000000000006,37.63527236568138,NA,50.400000000000006,33.3935,44.01763618284069,38.705568091420346,A,B,NA,NA,C,B,B,B,D,NA,C,D,NA,C,D,C,D
DT,Ross,Lower Ross River,Blacks Weir,786,0.56,63.30111111111111,90,90,44.983061455115724,90,NA,76.65055555555556,44.983061455115724,67.49153072755786,72.07104314155671,35.44862222222223,NA,50.400000000000006,25.190514414864808,50.400000000000006,50.400000000000006,42.924311111111116,37.79525720743241,40.35978415927176,A,C,A,NA,B,C,B,B,D,NA,C,D,C,C,C,D,D
DT,Ross,Bohle River,Bohle Mid-Field,169,0.12,0,62.8990909090909,90,50.100400000000015,0,NA,0,50.100400000000015,56.49974545454546,28.24987272727273,0,NA,10.799999999999999,6.012048000000002,0,7.547890909090908,0,6.779969454545455,3.3899847272727275,A,C,E,NA,E,C,C,D,E,NA,E,E,E,E,E,E,E
DT,Ross,Bohle River,Bohle Far-Field,169,0.12,0,63.10287356321838,90,0,0,NA,0,0,31.55143678160919,15.775718390804595,0,NA,10.799999999999999,0,0,7.572344827586205,0,3.7861724137931025,1.8930862068965513,A,E,E,NA,E,E,D,E,E,NA,E,E,E,E,E,E,E
DT,Black,Black River,Black River,250,0.37,63.72734939759036,72.13563803543394,64.89512611879576,90,39.584999999999994,90,51.656174698795176,64.89512611879576,68.51538207711485,60.08577838795502,23.579119277108433,33.3,24.01119666395443,33.3,14.646449999999998,26.69018607311056,19.112784638554214,25.350691368532495,22.231738003543356,B,A,D,A,C,B,B,C,D,D,D,D,E,D,E,D,D
DT,Black,Bluewater Creek,Althaus Creek,162,0.24,90,0,51.56200000000001,90,18.269999999999996,90,54.135,51.56200000000001,25.781000000000006,39.958,21.599999999999998,21.599999999999998,12.374880000000003,21.599999999999998,4.3847999999999985,0,12.992399999999998,6.187440000000001,9.58992,C,A,E,A,C,C,D,D,D,D,E,D,E,E,E,E,E
DT,Black,Bluewater Creek,Bluewater Creek,162,0.24,73.40904761904761,70.32017597219205,90,62.927730870712374,90,90,81.7045238095238,62.927730870712374,66.62395342145221,74.16423861548802,17.618171428571426,21.599999999999998,21.599999999999998,15.10265540897097,21.599999999999998,16.87684223332609,19.609085714285712,15.989748821148531,17.799417267717125,A,B,A,A,A,B,B,B,E,D,D,E,D,E,E,E,E
DT,Black,Bluewater Creek,Sleeper Log Creek,162,0.24,90,13.7025,90,72.31180451127821,77.67333333333332,90,83.83666666666666,72.31180451127821,43.007152255639106,63.42190946115288,21.599999999999998,21.599999999999998,21.599999999999998,17.35483308270677,18.641599999999997,3.2886,20.1208,10.321716541353386,15.22125827067669,A,B,B,A,A,B,C,B,D,D,D,E,E,E,E,E,E
